Data,Último,Abertura,Máxima,Mínima,Variação
01.01.2001,"0,9407","0,9422","0,9429","0,9390","-0,18%"
29.12.2000,"0,9424","0,9294","0,9427","0,9277","1,38%"
28.12.2000,"0,9296","0,9306","0,9319","0,9244","-0,11%"
27.12.2000,"0,9306","0,9306","0,9344","0,9271","-0,05%"
26.12.2000,"0,9311","0,9262","0,9326","0,9236","0,63%"
25.12.2000,"0,9253","0,9236","0,9279","0,9196","0,10%"
22.12.2000,"0,9244","0,9166","0,9265","0,9145","0,88%"
21.12.2000,"0,9163","0,9093","0,9175","0,9057","0,73%"
20.12.2000,"0,9097","0,8953","0,9102","0,8947","1,70%"
19.12.2000,"0,8945","0,8947","0,8971","0,8881","0,08%"
18.12.2000,"0,8938","0,8944","0,9021","0,8923","-0,20%"
15.12.2000,"0,8956","0,8932","0,9003","0,8903","0,55%"
14.12.2000,"0,8907","0,8769","0,8918","0,8756","1,56%"
13.12.2000,"0,8770","0,8793","0,8820","0,8715","-0,24%"
12.12.2000,"0,8791","0,8777","0,8841","0,8751","0,34%"
11.12.2000,"0,8761","0,8825","0,8866","0,8750","-1,15%"
08.12.2000,"0,8863","0,8903","0,8919","0,8808","-0,37%"
07.12.2000,"0,8896","0,8921","0,8978","0,8854","-0,21%"
06.12.2000,"0,8915","0,8798","0,8922","0,8770","1,32%"
05.12.2000,"0,8799","0,8882","0,8910","0,8783","-1,07%"
04.12.2000,"0,8894","0,8788","0,8936","0,8757","1,22%"
01.12.2000,"0,8787","0,8725","0,8797","0,8701","0,72%"
30.11.2000,"0,8724","0,8574","0,8736","0,8566","1,70%"
29.11.2000,"0,8578","0,8563","0,8661","0,8555","0,12%"
28.11.2000,"0,8568","0,8521","0,8582","0,8503","0,61%"
27.11.2000,"0,8516","0,8392","0,8529","0,8384","1,55%"
24.11.2000,"0,8386","0,8390","0,8458","0,8375","0,04%"
23.11.2000,"0,8383","0,8452","0,8459","0,8374","-0,71%"
22.11.2000,"0,8443","0,8434","0,8489","0,8412","0,11%"
21.11.2000,"0,8434","0,8515","0,8535","0,8415","-0,93%"
20.11.2000,"0,8513","0,8495","0,8524","0,8461","0,28%"
17.11.2000,"0,8489","0,8532","0,8579","0,8474","-0,38%"
16.11.2000,"0,8521","0,8576","0,8601","0,8515","-0,62%"
15.11.2000,"0,8574","0,8578","0,8637","0,8554","-0,08%"
14.11.2000,"0,8581","0,8562","0,8618","0,8549","-0,17%"
13.11.2000,"0,8596","0,8622","0,8667","0,8580","-0,09%"
